Codigo;Jurisdiccion;Superficie;Poblacion2010;Densidad2010;Poblacion2022;Densidad2022
2;Ciudad Autónoma de Buenos Aires;206;2890151;14450,8;3121707;15161,3
6;Buenos Aires;305907;15625084;50,8;17523996;57,3
;24 Partidos del Gran Buenos Aires;3773;9916715;2694,8;10849299;2875,3
;"Resto de partidos de la Provincia
de Buenos Aires";302134;5708369;18,8;6674697;22,1
10;Catamarca;101486;367828;3,6;429562;4,2
22;Chaco;99763;1055259;10,6;1129606;11,3
26;Chubut;224302;509108;2,3;592621;2,6
14;Córdoba;164708;3308876;20;3840905;23,3
18;Corrientes;89123;992595;11,3;1212696;13,6
30;Entre Ríos;78384;1235994;15,7;1425578;18,2
34;Formosa;75488;530162;7,4;607419;8
38;Jujuy;53244;673307;12,7;811611;15,2
42;La Pampa;143493;318951;2,2;361859;2,5
46;La Rioja;91494;333642;3,7;383865;4,2
50;Mendoza;149069;1738929;11,7;2043540;13,7
54;Misiones;29911;1101593;37;1278873;42,8
58;Neuquén;94422;551266;5,9;710814;7,5
62;Río Negro;202169;638645;3,1;750768;3,7
66;Salta;155341;1214441;7,8;1441351;9,3
70;San Juan;88296;681055;7,6;822853;9,3
74;San Luis;75347;432310;5,6;542069;7,2
78;Santa Cruz;244458;273964;1,1;337226;1,4
82;Santa Fe;133249;3194537;24;3544908;26,6
86;Santiago del Estero;136934;874006;6,4;1060906;7,7
94;Tierra del FuegoIslas;910324;127205;0,1;185732;0,2
90;Tucumán;22592;1448188;64,3;1731820;76,7
